Дата,Час,Код цифровий,Код літерний,Кількість одиниць,Назва валюти,"Офіційний курс гривні, грн"
19.12.2024,00.00,978,EUR,1,Євро,43.9581
20.12.2024,00.00,978,EUR,1,Євро,43.577
21.12.2024,00.00,978,EUR,1,Євро,43.577
22.12.2024,00.00,978,EUR,1,Євро,43.577
23.12.2024,00.00,978,EUR,1,Євро,43.5114
24.12.2024,00.00,978,EUR,1,Євро,43.6454
25.12.2024,00.00,978,EUR,1,Євро,43.6334
26.12.2024,00.00,978,EUR,1,Євро,43.5159
27.12.2024,00.00,978,EUR,1,Євро,43.5122
28.12.2024,00.00,978,EUR,1,Євро,43.5122
29.12.2024,00.00,978,EUR,1,Євро,43.5122
30.12.2024,00.00,978,EUR,1,Євро,43.7479
31.12.2024,00.00,978,EUR,1,Євро,43.9266
01.01.2025,00.00,978,EUR,1,Євро,43.6855
02.01.2025,00.00,978,EUR,1,Євро,43.6052
03.01.2025,00.00,978,EUR,1,Євро,43.3753
04.01.2025,00.00,978,EUR,1,Євро,43.3753
05.01.2025,00.00,978,EUR,1,Євро,43.3753
06.01.2025,00.00,978,EUR,1,Євро,43.3347
07.01.2025,00.00,978,EUR,1,Євро,43.9091
08.01.2025,00.00,978,EUR,1,Євро,43.8767
09.01.2025,00.00,978,EUR,1,Євро,43.4272
10.01.2025,00.00,978,EUR,1,Євро,43.5594
11.01.2025,00.00,978,EUR,1,Євро,43.5594
12.01.2025,00.00,978,EUR,1,Євро,43.5594
13.01.2025,00.00,978,EUR,1,Євро,43.5738
14.01.2025,00.00,978,EUR,1,Євро,43.1273
15.01.2025,00.00,978,EUR,1,Євро,43.3218
16.01.2025,00.00,978,EUR,1,Євро,43.5297
17.01.2025,00.00,978,EUR,1,Євро,43.32
18.01.2025,00.00,978,EUR,1,Євро,43.32
19.01.2025,00.00,978,EUR,1,Євро,43.32
20.01.2025,00.00,978,EUR,1,Євро,43.3684
21.01.2025,00.00,978,EUR,1,Євро,43.4998
22.01.2025,00.00,978,EUR,1,Євро,43.6419
23.01.2025,00.00,978,EUR,1,Євро,43.8735
24.01.2025,00.00,978,EUR,1,Євро,43.6709
25.01.2025,00.00,978,EUR,1,Євро,43.6709
26.01.2025,00.00,978,EUR,1,Євро,43.6709
27.01.2025,00.00,978,EUR,1,Євро,43.9168
28.01.2025,00.00,978,EUR,1,Євро,44.146
29.01.2025,00.00,978,EUR,1,Євро,43.7843
30.01.2025,00.00,978,EUR,1,Євро,43.6192
31.01.2025,00.00,978,EUR,1,Євро,43.5097
01.02.2025,00.00,978,EUR,1,Євро,43.5097
02.02.2025,00.00,978,EUR,1,Євро,43.5097
03.02.2025,00.00,978,EUR,1,Євро,43.3244
04.02.2025,00.00,978,EUR,1,Євро,42.8627
05.02.2025,00.00,978,EUR,1,Євро,43.117
06.02.2025,00.00,978,EUR,1,Євро,43.4081
07.02.2025,00.00,978,EUR,1,Євро,42.9792
08.02.2025,00.00,978,EUR,1,Євро,42.9792
09.02.2025,00.00,978,EUR,1,Євро,42.9792
10.02.2025,00.00,978,EUR,1,Євро,43.0327
11.02.2025,00.00,978,EUR,1,Євро,42.8955
12.02.2025,00.00,978,EUR,1,Євро,43.0114
13.02.2025,00.00,978,EUR,1,Євро,43.3557
14.02.2025,00.00,978,EUR,1,Євро,43.4361
15.02.2025,00.00,978,EUR,1,Євро,43.4361
16.02.2025,00.00,978,EUR,1,Євро,43.4361
17.02.2025,00.00,978,EUR,1,Євро,43.5907
18.02.2025,00.00,978,EUR,1,Євро,43.5168
19.02.2025,00.00,978,EUR,1,Євро,43.4661
20.02.2025,00.00,978,EUR,1,Євро,43.4737
21.02.2025,00.00,978,EUR,1,Євро,43.5511
22.02.2025,00.00,978,EUR,1,Євро,43.5511
23.02.2025,00.00,978,EUR,1,Євро,43.5511
